[05/06/2023 00:20:41.296]	 INFO 	[main.create_app:22]	 Initializing the app
[05/06/2023 00:20:42.379]	 INFO 	[main.create_app:22]	 Initializing the app
[05/06/2023 00:22:20.33]	 INFO 	[main.create_app:22]	 Initializing the app
[05/06/2023 00:22:21.87]	 INFO 	[main.create_app:22]	 Initializing the app
[05/06/2023 00:23:08.210]	 INFO 	[main.create_app:22]	 Initializing the app
[05/06/2023 00:23:28.380]	 INFO 	[app.namespaces.components.delete:81]	 Component <components gateway> was deleted
[05/06/2023 00:23:37.349]	 INFO 	[app.namespaces.components.get:26]	 Requesting all the components
[05/06/2023 00:23:59.962]	 INFO 	[app.namespaces.components.post:33]	 Creating the components
[05/06/2023 00:23:59.984]	 INFO 	[app.namespaces.components.post:47]	 Successfully created  the components <components example>
[05/06/2023 00:24:53.468]	 INFO 	[main.create_app:22]	 Initializing the app
[05/06/2023 00:44:45.51]	 INFO 	[main.create_app:22]	 Initializing the app
[05/06/2023 00:44:46.124]	 INFO 	[main.create_app:22]	 Initializing the app
[05/06/2023 08:45:36.936]	 INFO 	[main.create_app:22]	 Initializing the app
[05/06/2023 08:45:36.995]	 INFO 	[main.create_app:22]	 Initializing the app
[05/06/2023 08:45:37.1]	 INFO 	[main.create_app:22]	 Initializing the app
[05/06/2023 08:45:37.8]	 INFO 	[main.create_app:22]	 Initializing the app
[05/06/2023 08:45:37.15]	 INFO 	[main.create_app:22]	 Initializing the app
[05/06/2023 08:45:37.22]	 INFO 	[main.create_app:22]	 Initializing the app
[05/06/2023 08:45:37.29]	 INFO 	[main.create_app:22]	 Initializing the app
[05/06/2023 08:45:37.37]	 INFO 	[main.create_app:22]	 Initializing the app
[05/06/2023 08:45:37.44]	 INFO 	[main.create_app:22]	 Initializing the app
[05/06/2023 08:45:37.50]	 INFO 	[main.create_app:22]	 Initializing the app
[05/06/2023 08:45:37.58]	 INFO 	[main.create_app:22]	 Initializing the app
[05/06/2023 08:45:37.64]	 INFO 	[main.create_app:22]	 Initializing the app
[05/06/2023 08:46:42.413]	 INFO 	[main.create_app:22]	 Initializing the app
[05/06/2023 08:46:42.496]	 INFO 	[app.namespaces.components.post:33]	 Creating the components
[05/06/2023 08:46:42.531]	 INFO 	[app.namespaces.components.post:47]	 Successfully created  the components <components test>
[05/06/2023 08:46:42.603]	 INFO 	[main.create_app:22]	 Initializing the app
[05/06/2023 08:46:42.621]	 INFO 	[app.namespaces.components.get:26]	 Requesting all the components
[05/06/2023 08:46:42.625]	 INFO 	[main.create_app:22]	 Initializing the app
[05/06/2023 08:46:42.639]	 INFO 	[app.namespaces.components.get:55]	 Initializing request to get one component
[05/06/2023 08:46:42.642]	 INFO 	[main.create_app:22]	 Initializing the app
[05/06/2023 08:46:42.659]	 INFO 	[app.namespaces.components.post:33]	 Creating the components
[05/06/2023 08:46:42.666]	 INFO 	[main.create_app:22]	 Initializing the app
[05/06/2023 08:46:42.704]	 INFO 	[main.create_app:22]	 Initializing the app
[05/06/2023 08:46:42.735]	 INFO 	[app.namespaces.components.post:33]	 Creating the components
[05/06/2023 08:46:42.748]	 INFO 	[app.namespaces.components.post:47]	 Successfully created  the components <components test>
[05/06/2023 08:46:42.749]	 INFO 	[app.namespaces.components.put:61]	 Initializing request to update the one component with the id 1
[05/06/2023 08:46:42.764]	 INFO 	[app.namespaces.components.put:74]	 Component test2 was updated
[05/06/2023 08:46:42.768]	 INFO 	[main.create_app:22]	 Initializing the app
[05/06/2023 08:46:42.779]	 INFO 	[app.namespaces.devices.post:52]	 Initializing post devices
[05/06/2023 08:46:42.784]	 INFO 	[app.namespaces.devices.delete:155]	 Initializing request to dele a device 1
[05/06/2023 08:46:42.789]	 INFO 	[main.create_app:22]	 Initializing the app
[05/06/2023 08:46:42.801]	 INFO 	[app.namespaces.devices.get:44]	 Requesting all the devices
[05/06/2023 08:46:42.805]	 INFO 	[main.create_app:22]	 Initializing the app
[05/06/2023 08:46:42.816]	 INFO 	[app.namespaces.devices.get:102]	 Requesting option to get a device was iniazilizing
[05/06/2023 08:46:42.820]	 INFO 	[main.create_app:22]	 Initializing the app
[05/06/2023 08:46:42.834]	 INFO 	[app.namespaces.devices.post:52]	 Initializing post devices
[05/06/2023 08:46:42.841]	 INFO 	[main.create_app:22]	 Initializing the app
[05/06/2023 08:46:42.875]	 INFO 	[main.create_app:22]	 Initializing the app
[05/06/2023 08:46:42.905]	 INFO 	[app.namespaces.devices.post:52]	 Initializing post devices
[05/06/2023 08:46:42.911]	 INFO 	[app.namespaces.devices.put:114]	 Initialzing put for new device
[05/06/2023 08:49:34.557]	 INFO 	[main.create_app:22]	 Initializing the app
[05/06/2023 08:49:34.589]	 INFO 	[app.namespaces.components.post:33]	 Creating the components
[05/06/2023 08:49:34.609]	 INFO 	[app.namespaces.components.post:47]	 Successfully created  the components <components test>
[05/06/2023 08:49:34.623]	 INFO 	[app.namespaces.components.delete:81]	 Component <components test> was deleted
[05/06/2023 08:49:34.624]	 INFO 	[main.create_app:22]	 Initializing the app
[05/06/2023 08:49:34.634]	 INFO 	[app.namespaces.components.get:26]	 Requesting all the components
[05/06/2023 08:49:34.636]	 INFO 	[main.create_app:22]	 Initializing the app
[05/06/2023 08:49:34.644]	 INFO 	[app.namespaces.components.get:55]	 Initializing request to get one component
[05/06/2023 08:49:34.647]	 INFO 	[main.create_app:22]	 Initializing the app
[05/06/2023 08:49:34.655]	 INFO 	[app.namespaces.components.post:33]	 Creating the components
[05/06/2023 08:49:34.664]	 INFO 	[app.namespaces.components.post:47]	 Successfully created  the components <components test>
[05/06/2023 08:49:34.665]	 INFO 	[main.create_app:22]	 Initializing the app
[05/06/2023 08:49:34.688]	 INFO 	[main.create_app:22]	 Initializing the app
[05/06/2023 08:49:34.711]	 INFO 	[app.namespaces.components.post:33]	 Creating the components
[05/06/2023 08:49:34.721]	 INFO 	[app.namespaces.components.post:47]	 Successfully created  the components <components test>
[05/06/2023 08:49:34.722]	 INFO 	[app.namespaces.components.put:61]	 Initializing request to update the one component with the id 1
[05/06/2023 08:49:34.734]	 INFO 	[app.namespaces.components.put:74]	 Component test2 was updated
[05/06/2023 08:49:34.736]	 INFO 	[main.create_app:22]	 Initializing the app
[05/06/2023 08:49:34.744]	 INFO 	[app.namespaces.devices.post:52]	 Initializing post devices
[05/06/2023 08:49:34.748]	 INFO 	[app.namespaces.devices.delete:155]	 Initializing request to dele a device 1
[05/06/2023 08:49:34.751]	 INFO 	[main.create_app:22]	 Initializing the app
[05/06/2023 08:49:34.760]	 INFO 	[app.namespaces.devices.get:44]	 Requesting all the devices
[05/06/2023 08:49:34.762]	 INFO 	[main.create_app:22]	 Initializing the app
[05/06/2023 08:49:34.770]	 INFO 	[app.namespaces.devices.get:102]	 Requesting option to get a device was iniazilizing
[05/06/2023 08:49:34.774]	 INFO 	[main.create_app:22]	 Initializing the app
[05/06/2023 08:49:34.782]	 INFO 	[app.namespaces.devices.post:52]	 Initializing post devices
[05/06/2023 08:49:34.791]	 INFO 	[main.create_app:22]	 Initializing the app
[05/06/2023 08:49:34.814]	 INFO 	[main.create_app:22]	 Initializing the app
[05/06/2023 08:49:34.838]	 INFO 	[app.namespaces.devices.post:52]	 Initializing post devices
[05/06/2023 08:49:34.841]	 INFO 	[app.namespaces.devices.put:114]	 Initialzing put for new device
[05/06/2023 08:52:21.767]	 INFO 	[main.create_app:22]	 Initializing the app
[05/06/2023 08:52:21.801]	 INFO 	[app.namespaces.components.post:33]	 Creating the components
[05/06/2023 08:52:21.824]	 INFO 	[app.namespaces.components.post:47]	 Successfully created  the components <components test>
[05/06/2023 08:52:21.839]	 INFO 	[app.namespaces.components.delete:81]	 Component <components test> was deleted
[05/06/2023 08:52:21.840]	 INFO 	[main.create_app:22]	 Initializing the app
[05/06/2023 08:52:21.850]	 INFO 	[app.namespaces.components.get:26]	 Requesting all the components
[05/06/2023 08:52:21.853]	 INFO 	[main.create_app:22]	 Initializing the app
[05/06/2023 08:52:21.862]	 INFO 	[app.namespaces.components.get:55]	 Initializing request to get one component
[05/06/2023 08:52:21.865]	 INFO 	[main.create_app:22]	 Initializing the app
[05/06/2023 08:52:21.874]	 INFO 	[app.namespaces.components.post:33]	 Creating the components
[05/06/2023 08:52:21.891]	 INFO 	[app.namespaces.components.post:47]	 Successfully created  the components <components test>
[05/06/2023 08:52:21.892]	 INFO 	[main.create_app:22]	 Initializing the app
[05/06/2023 08:52:21.915]	 INFO 	[main.create_app:22]	 Initializing the app
[05/06/2023 08:52:21.940]	 INFO 	[app.namespaces.components.post:33]	 Creating the components
[05/06/2023 08:52:21.955]	 INFO 	[app.namespaces.components.post:47]	 Successfully created  the components <components test>
[05/06/2023 08:52:21.956]	 INFO 	[app.namespaces.components.put:61]	 Initializing request to update the one component with the id 1
[05/06/2023 08:52:21.968]	 INFO 	[app.namespaces.components.put:74]	 Component test2 was updated
[05/06/2023 08:52:21.970]	 INFO 	[main.create_app:22]	 Initializing the app
[05/06/2023 08:52:21.978]	 INFO 	[app.namespaces.devices.post:52]	 Initializing post devices
[05/06/2023 08:52:21.982]	 INFO 	[app.namespaces.devices.delete:155]	 Initializing request to dele a device 1
[05/06/2023 08:52:21.986]	 INFO 	[main.create_app:22]	 Initializing the app
[05/06/2023 08:52:21.994]	 INFO 	[app.namespaces.devices.get:44]	 Requesting all the devices
[05/06/2023 08:52:21.996]	 INFO 	[main.create_app:22]	 Initializing the app
[05/06/2023 08:52:22.4]	 INFO 	[app.namespaces.devices.get:102]	 Requesting option to get a device was iniazilizing
[05/06/2023 08:52:22.8]	 INFO 	[main.create_app:22]	 Initializing the app
[05/06/2023 08:52:22.16]	 INFO 	[app.namespaces.devices.post:52]	 Initializing post devices
[05/06/2023 08:52:22.26]	 INFO 	[main.create_app:22]	 Initializing the app
[05/06/2023 08:52:22.53]	 INFO 	[main.create_app:22]	 Initializing the app
[05/06/2023 08:52:22.79]	 INFO 	[app.namespaces.devices.post:52]	 Initializing post devices
[05/06/2023 08:52:22.82]	 INFO 	[app.namespaces.devices.put:114]	 Initialzing put for new device
[05/06/2023 08:52:39.237]	 INFO 	[main.create_app:22]	 Initializing the app
[05/06/2023 08:52:39.272]	 INFO 	[app.namespaces.components.post:33]	 Creating the components
[05/06/2023 08:52:39.291]	 INFO 	[app.namespaces.components.post:47]	 Successfully created  the components <components test>
[05/06/2023 08:52:39.306]	 INFO 	[app.namespaces.components.delete:81]	 Component <components test> was deleted
[05/06/2023 08:52:39.306]	 INFO 	[main.create_app:22]	 Initializing the app
[05/06/2023 08:52:39.316]	 INFO 	[app.namespaces.components.get:26]	 Requesting all the components
[05/06/2023 08:52:39.318]	 INFO 	[main.create_app:22]	 Initializing the app
[05/06/2023 08:52:39.327]	 INFO 	[app.namespaces.components.get:55]	 Initializing request to get one component
[05/06/2023 08:52:39.330]	 INFO 	[main.create_app:22]	 Initializing the app
[05/06/2023 08:52:39.338]	 INFO 	[app.namespaces.components.post:33]	 Creating the components
[05/06/2023 08:52:39.350]	 INFO 	[app.namespaces.components.post:47]	 Successfully created  the components <components test>
[05/06/2023 08:52:39.351]	 INFO 	[main.create_app:22]	 Initializing the app
[05/06/2023 08:52:39.376]	 INFO 	[main.create_app:22]	 Initializing the app
